"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Charttraxx Karaoke","Avery","F","32","Martinez","225.17506","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Fireflies","82"
"Grant Lee Buffalo","Rylan","M","55","George","169.76934","paid","Birmingham-Hoover, AL","983","Mighty Joe Moon","16"
"Radiohead","Rylan","M","56","George","261.45914","paid","Birmingham-Hoover, AL","983","Karma Police","16"
"Madeleine Peyroux","Avery","F","33","Martinez","258.71628","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Love And Treachery","82"
"Bon Jovi","Rylan","M","57","George","224.522","paid","Birmingham-Hoover, AL","983","It's My Life","16"
"James Taylor","Avery","F","34","Martinez","338.80771","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Country Road","82"
"Jesse Cook","Rylan","M","58","George","301.71383","paid","Birmingham-Hoover, AL","983","CanciÃÂ³n Triste","16"
"The Black Keys","Avery","F","35","Martinez","239.59465","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Unknown Brother","82"
"Radiohead","Rylan","M","59","George","284.44689","paid","Birmingham-Hoover, AL","983","Kid A","16"
"Randy Crawford","Avery","F","36","Martinez","270.75873","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Almaz","82"
"Randy Crawford","Rylan","M","60","George","270.75873","paid","Birmingham-Hoover, AL","983","Almaz","16"
"Dr. Alban","Avery","F","37","Martinez","210.05016","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Born In Africa","82"
"Two Door Cinema Club","Rylan","M","61","George","189.67465","paid","Birmingham-Hoover, AL","983","What You Know","16"
"The Avett Brothers","Avery","F","38","Martinez","287.97342","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Head Full Of Doubt/Road Full Of Promise","82"
"The Bravery","Rylan","M","62","George","187.37587","paid","Birmingham-Hoover, AL","983","Hot Pursuit","16"
"Greg Dulli","Avery","F","39","Martinez","221.17832","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Pussywillow","82"
"Guns N' Roses","Rylan","M","63","George","284.05506","paid","Birmingham-Hoover, AL","983","Don't Cry (Original)","16"
"Major Organ And The Adding Machine","Avery","F","40","Martinez","46.05342","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Kissing Behind The Rubbery Grinder","82"
"RJD2","Avery","F","41","Martinez","237.53098","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Beyond The Beyond (Instrumental)","82"
"Fatback","Rylan","M","64","George","315.66322","paid","Birmingham-Hoover, AL","983","Yum Yum (Gimme Some)","16"
"Secos And Molhados","Avery","F","42","Martinez","66.16771","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Caixinha De MÃÂºsica Do JoÃÂ£o","82"
"Marc Almond","Avery","F","43","Martinez","197.17179","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Mr. Sad","82"
"The Tallest Man On Earth","Rylan","M","66","George","197.40689","paid","Birmingham-Hoover, AL","983","A Lion's Heart","16"
"Pavement","Avery","F","44","Martinez","149.83791","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Heaven Is A Truck","82"
"Kanye West","Rylan","M","67","George","311.92771","paid","Birmingham-Hoover, AL","983","Stronger","16"
"Against Me!","Avery","F","45","Martinez","129.43628","paid","Atlanta-Sandy Springs-Roswell, GA","1017","ClichÃÂ© Guevara","82"
"Rah Digga","Rylan","M","68","George","384.10404","paid","Birmingham-Hoover, AL","983","Imperial (LP Amended Version)","16"
"Pat Metheny Group","Avery","F","50","Martinez","324.8322","paid","Atlanta-Sandy Springs-Roswell, GA","1017","Always and Forever","82"
"Harmonia","Rylan","M","69","George","655.77751","paid","Birmingham-Hoover, AL","983","Sehr kosmisch","16"
"David Lee Roth","Rylan","M","70","George","171.83302","paid","Birmingham-Hoover, AL","983","California Girls (Album Version)","16"
"Michael Cretu","Rylan","M","71","George","301.06077","paid","Birmingham-Hoover, AL","983","The Invisible Man","16"
"Haloo Helsinki!","Rylan","M","72","George","223.42485","paid","Birmingham-Hoover, AL","983","Kaaos ei karkaa","16"
"Chali 2na","Chloe","F","72","Cuevas","176.8224","paid","San Francisco-Oakland-Hayward, CA","1041","MC Material","49"
"Radiohead","Chloe","F","73","Cuevas","129.56689","paid","San Francisco-Oakland-Hayward, CA","1041","Faust Arp","49"
"Andre Hazes","Chloe","F","74","Cuevas","206.70649","paid","San Francisco-Oakland-Hayward, CA","1041","Droomland (duet met Paul de Leeuw)","49"
"Rise Against","Chloe","F","75","Cuevas","242.25914","paid","San Francisco-Oakland-Hayward, CA","1041","Savior","49"
"Sepultura","Chloe","F","76","Cuevas","186.5922","paid","San Francisco-Oakland-Hayward, CA","1041","Ostia","49"
"Screaming Trees","Chloe","F","77","Cuevas","218.30485","paid","San Francisco-Oakland-Hayward, CA","1041","Witness","49"
"Spencer Davis Group","Chloe","F","78","Cuevas","244.94975","paid","San Francisco-Oakland-Hayward, CA","1041","Crossfire","49"
"Lionel Richie","Chloe","F","79","Cuevas","310.69995","paid","San Francisco-Oakland-Hayward, CA","1041","Still","49"
"Skinlab","Chloe","F","80","Cuevas","277.89016","paid","San Francisco-Oakland-Hayward, CA","1041","So Far From The Truth","49"
"Larry Sparks","Tegan","F","3","Levine","265.50812","paid","Portland-South Portland, ME","1065","Follow The Star","80"
"Eastmountainsouth","Chloe","F","81","Cuevas","237.58322","paid","San Francisco-Oakland-Hayward, CA","1041","You Dance","49"
"Bon Jovi","Tegan","F","4","Levine","228.85832","paid","Portland-South Portland, ME","1065","Have A Nice Day","80"
"Diam's","Chloe","F","82","Cuevas","220.62975","paid","San Francisco-Oakland-Hayward, CA","1041","La Boulette (GÃÂ©nÃÂ©ration Nan Nan)","49"
"Porcupine Tree","Chloe","F","83","Cuevas","263.60118","paid","San Francisco-Oakland-Hayward, CA","1041","Blackest Eyes (Album Version)","49"
"Blackfield","Tegan","F","5","Levine","311.82322","paid","Portland-South Portland, ME","1065","Once","80"
"Kate Bush","Chloe","F","84","Cuevas","177.05751","paid","San Francisco-Oakland-Hayward, CA","1041","Kite","49"
"Clinic","Tegan","F","6","Levine","156.21179","paid","Portland-South Portland, ME","1065","Walking With Thee","80"
"Muse","Chloe","F","85","Cuevas","277.31546","paid","San Francisco-Oakland-Hayward, CA","1041","Darkshines [Live From Le Zenith]","49"
"Shakira","Tegan","F","7","Levine","322.79465","paid","Portland-South Portland, ME","1065","TÃÂº","80"
"Jellyfish","Chloe","F","86","Cuevas","143.17669","paid","San Francisco-Oakland-Hayward, CA","1041","Sebrina_ Paste And Plato","49"
"The Verve","Tegan","F","8","Levine","360.25424","paid","Portland-South Portland, ME","1065","Bitter Sweet Symphony","80"
"Toro Y Moi","Chloe","F","87","Cuevas","133.85098","paid","San Francisco-Oakland-Hayward, CA","1041","Lissoms","49"
"Simon Harris","Chloe","F","88","Cuevas","195.83955","paid","San Francisco-Oakland-Hayward, CA","1041","Sample Track 2","49"
"Linkin Park","Tegan","F","9","Levine","197.51138","paid","Portland-South Portland, ME","1065","Figure.09 (Album Version)","80"
"Michael W. Smith","Chloe","F","89","Cuevas","381.88363","paid","San Francisco-Oakland-Hayward, CA","1041","The Wonderful Cross","49"
"Underworld","Tegan","F","10","Levine","329.53424","paid","Portland-South Portland, ME","1065","Teardrop","80"
"Nickelback","Chloe","F","90","Cuevas","274.65098","paid","San Francisco-Oakland-Hayward, CA","1041","This Afternoon (Album Version)","49"
"Jackson Do Pandeiro","Martin","M","2","Johnson","157.51791","free","Minneapolis-St. Paul-Bloomington, MN-WI","1008","O Canto Da Ema","55"
"John Mayer","Tegan","F","11","Levine","269.71383","paid","Portland-South Portland, ME","1065","Heartbreak Warfare","80"
"Triumvirat","Martin","M","3","Johnson","294.81751","free","Minneapolis-St. Paul-Bloomington, MN-WI","1008","Waterfall","55"
"Hausmylly","Chloe","F","91","Cuevas","207.75138","paid","San Francisco-Oakland-Hayward, CA","1041","TAVALLINEN TARINA","49"
"Thousand Foot Krutch","Tegan","F","12","Levine","180.58404","paid","Portland-South Portland, ME","1065","Step To Me","80"
"Enya","Chloe","F","92","Cuevas","218.53995","paid","San Francisco-Oakland-Hayward, CA","1041","Only Time (Original Version)","49"
"Billie The Vision & The Dancers","Martin","M","4","Johnson","136.46322","free","Minneapolis-St. Paul-Bloomington, MN-WI","1008","Still be Friends","55"
"Claudio Minore","Tegan","F","13","Levine","282.01751","paid","Portland-South Portland, ME","1065","Non Saprai Mai","80"
"Charttraxx Karaoke","Martin","M","5","Johnson","225.17506","free","Minneapolis-St. Paul-Bloomington, MN-WI","1008","Fireflies","55"
"The Radio Dept.","Chloe","F","93","Cuevas","193.72363","paid","San Francisco-Oakland-Hayward, CA","1041","The Worst Taste In Music (Extended)","49"
"Wilco","Tegan","F","14","Levine","227.65669","paid","Portland-South Portland, ME","1065","War on war","80"
"O-Zone","Chloe","F","94","Cuevas","226.16771","paid","San Francisco-Oakland-Hayward, CA","1041","Despre tine","49"
"Adam Lambert","Austin","M","0","Rosales","227.39546","free","New York-Newark-Jersey City, NY-NJ-PA","967","Whataya Want From Me","12"
"Mission Of Burma","Tegan","F","15","Levine","218.20036","paid","Portland-South Portland, ME","1065","Red","80"
"Danity Kane","Chloe","F","95","Cuevas","247.74485","paid","San Francisco-Oakland-Hayward, CA","1041","Damaged [Feat. Fabolous]","49"
"Radiohead","Tegan","F","16","Levine","223.00689","paid","Portland-South Portland, ME","1065","Sulk","80"
"Fightstar","Wyatt","M","1","Scott","212.61016","free","Eureka-Arcata-Fortuna, CA","1010","The English Way","9"
"Hoobastank","Tegan","F","17","Levine","242.78159","paid","Portland-South Portland, ME","1065","To Be With You","80"
"Bright Eyes","Tegan","F","18","Levine","279.87546","paid","Portland-South Portland, ME","1065","Poison Oak (Album Version)","80"
"Procol Harum","Tegan","F","19","Levine","368.56118","paid","Portland-South Portland, ME","1065","Grand Hotel","80"
"Radiohead","Tegan","F","20","Levine","259.29098","paid","Portland-South Portland, ME","1065","Planet Telex","80"
"Alliance Ethnik","Tegan","F","21","Levine","195.94404","paid","Portland-South Portland, ME","1065","SinceritÃÂ© Et Jalousie","80"
"Muse","Tegan","F","22","Levine","365.45261","paid","Portland-South Portland, ME","1065","New Born","80"
"Steps","Tegan","F","23","Levine","201.76934","paid","Portland-South Portland, ME","1065","5_ 6_ 7_ 8","80"
"John Mayer","Tegan","F","24","Levine","198.19057","paid","Portland-South Portland, ME","1065","The Heart Of Life","80"
"Kings Of Leon","Sean","F","0","Wilson","201.79546","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","21","Revelry","22"
"David Gray","Tegan","F","25","Levine","263.33995","paid","Portland-South Portland, ME","1065","Draw The Line","80"
"King Stitt","Sean","F","1","Wilson","176.27383","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","21","The Ugly One (AKA Lee Van Cleef)","22"
"Tub Ring","Tegan","F","26","Levine","233.69098","paid","Portland-South Portland, ME","1065","Invalid","80"
"Era","Tegan","F","27","Levine","200.56771","paid","Portland-South Portland, ME","1065","Cathar Rhythm","80"
"+ / - {Plus/Minus}","Tegan","F","29","Levine","318.98077","paid","Portland-South Portland, ME","1065","The Queen of Nothing","80"
"Crystal Castles","Tegan","F","30","Levine","175.51628","paid","Portland-South Portland, ME","1065","Good Time","80"
"The Whitest Boy Alive","Tegan","F","31","Levine","234.57914","paid","Portland-South Portland, ME","1065","Figures","80"
"The White Stripes","Tegan","F","32","Levine","194.48118","paid","Portland-South Portland, ME","1065","Bone Broke","80"
"Furthermore","Tegan","F","33","Levine","211.69587","paid","Portland-South Portland, ME","1065","Are You The Walrus?","80"
"Eminem / Bizarre","Tegan","F","34","Levine","244.55791","paid","Portland-South Portland, ME","1065","Amityville","80"
"Florence + The Machine","Tegan","F","35","Levine","185.3122","paid","Portland-South Portland, ME","1065","I'm Not Calling You A Liar","80"
"Soda Stereo","Braden","M","0","Parker","316.73424","free","Youngstown-Warren-Boardman, OH-PA","1007","Signos","74"
"Taylor Swift","Tegan","F","36","Levine","230.47791","paid","Portland-South Portland, ME","1065","You Belong With Me","80"
"Pearl Jam","Tegan","F","38","Levine","283.89832","paid","Portland-South Portland, ME","1065","Rearviewmirror","80"
"The 2 Live Crew","Tegan","F","39","Levine","188.31628","paid","Portland-South Portland, ME","1065","Me So Horny","80"
"311","Tegan","F","40","Levine","113.26649","paid","Portland-South Portland, ME","1065","Loco","80"
"Light Of The World","Kynnedi","F","0","Sanchez","207.0722","free","Cedar Rapids, IA","1029","Midnight Groovin' (7"" Version) (2006 Digital Remaster)","89"
"Gustavo Cerati","Adler","M","1","Barrera","249.44281","free","New York-Newark-Jersey City, NY-NJ-PA","248","Uno Entre 1000","100"
"Limp Bizkit","Adler","M","2","Barrera","270.49751","free","New York-Newark-Jersey City, NY-NJ-PA","248","Behind Blue Eyes","100"
"Mikel Erentxun","Samuel","M","1","Gonzalez","178.83383","free","Houston-The Woodlands-Sugar Land, TX","252","Frases Mudas","61"
"The Gerbils","Martin","M","0","Johnson","27.01016","free","Minneapolis-St. Paul-Bloomington, MN-WI","250","(iii)","55"
"AFI","Martin","M","1","Johnson","190.45832","free","Minneapolis-St. Paul-Bloomington, MN-WI","250","Girl's Not Grey","55"
"Lhasa De Sela","Jordan","F","1","Hicks","256.10404","free","Salinas, CA","240","De cara a la pared","37"
"J.J. Cale","Jordan","F","2","Hicks","150.80444","free","Salinas, CA","240","Crazy Mama","37"
"Brian Eno","Jordan","F","3","Hicks","265.82159","free","Salinas, CA","240","An Ending (Ascent) (2005 Digital Remaster)","37"
"Hot Hot Heat","Jordan","F","4","Hicks","190.01424","free","Salinas, CA","240","Soldier In A Box (Album Version)","37"
"ATB","Ryan","M","0","Smith","209.26649","free","San Jose-Sunnyvale-Santa Clara, CA","278","You're Not Alone","26"
"Mt. St. Helens Vietnam Band","Ryan","M","1","Smith","253.6224","free","San Jose-Sunnyvale-Santa Clara, CA","278","A Year Or Two","26"
"Becky","Ryan","M","2","Smith","245.62893","free","San Jose-Sunnyvale-Santa Clara, CA","278","Kimi e","26"
"Franz Ferdinand","Ryan","M","3","Smith","254.69342","free","San Jose-Sunnyvale-Santa Clara, CA","278","This Fire","26"
"Creedence Clearwater Revival","Ryan","M","4","Smith","230.94812","free","San Jose-Sunnyvale-Santa Clara, CA","278","It's Just A Thought","26"
"Paul Stanley","Tegan","F","1","Levine","187.32363","free","Portland-South Portland, ME","279","Live To Win","80"
"Benga","Kevin","M","0","Arellano","314.64444","free","Harrisburg-Carlisle, PA","191","Pleasure","66"
"Basshunter","Kevin","M","1","Arellano","190.17098","free","Harrisburg-Carlisle, PA","191","Why","66"
"Kings Of Leon","Kevin","M","2","Arellano","231.81016","free","Harrisburg-Carlisle, PA","191","Use Somebody","66"
"Slim Dusty","Austin","M","0","Rosales","198.922","free","New York-Newark-Jersey City, NY-NJ-PA","300","Long Black Road","12"
"Dido","Celeste","F","0","Williams","235.57179","free","Klamath Falls, OR","215","I'm No Angel","53"
"Lifehouse","Celeste","F","1","Williams","195.47383","free","Klamath Falls, OR","215","You And Me (Wedding Version)","53"
"Gary U.S. Bonds","Celeste","F","2","Williams","243.25179","free","Klamath Falls, OR","215","Angelyne","53"
"Throw Me The Statue","Celeste","F","3","Williams","189.85751","free","Klamath Falls, OR","215","Noises","53"
"Steely Dan","Mohammad","M","0","Rodriguez","457.89995","free","Sacramento--Roseville--Arden-Arcade, CA","206","Deacon Blues","88"
"Arctic Monkeys","Ava","F","1","Robinson","191.26812","free","New Haven-Milford, CT","211","Old Yellow Bricks","50"
"Sade","Ava","F","2","Robinson","271.96036","free","New Haven-Milford, CT","211","Hang On To Your Love","50"
"Florence + The Machine","Bronson","M","0","Harris","219.66322","free","Eugene, OR","251","Dog Days Are Over (Radio Edit)","33"
"Vinnie Vincent Invasion","Sienna","F","0","Colon","303.12444","free","Las Cruces, NM","291","Ashes To Ashes (2003 Digital Remaster)","81"
"Hellogoodbye;Elliott Yamin","Evelin","F","3","Ayala","218.38322","free","Milwaukee-Waukesha-West Allis, WI","33","Here (In Your Arms) (Radio Edit)","34"
"Kanye West","Evelin","F","4","Ayala","311.92771","free","Milwaukee-Waukesha-West Allis, WI","33","Stronger","34"
"Interpol","Evelin","F","5","Ayala","247.66649","free","Milwaukee-Waukesha-West Allis, WI","33","Narc","34"
"Eminem","Evelin","F","6","Ayala","284.18567","free","Milwaukee-Waukesha-West Allis, WI","33","The Real Slim Shady","34"
"Carla Bruni","Avery","F","2","Watkins","163.02975","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Quelqu'un M'a Dit (Album Version)","30"
"Toby Keith","Avery","F","3","Watkins","192.31302","paid","San Jose-Sunnyvale-Santa Clara, CA","130","You Ain't Leavin' (Thank God Are Ya)","30"
"Dim Chris_ Thomas Gold","Jizelle","F","0","Benjamin","504.60689","free","Plymouth, IN","126","Self Control (Laurent Wolf & Anton Wick)","2"
"Blue Rodeo","Avery","F","4","Watkins","310.9873","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Hasn't Hit Me Yet","30"
"Evanescence","Lily","F","1","Burns","237.11302","free","New York-Newark-Jersey City, NY-NJ-PA","305","Bring Me To Life","32"
"BeyoncÃÂ©","Avery","F","5","Watkins","190.06649","paid","San Jose-Sunnyvale-Santa Clara, CA","130","I'd Rather Go Blind","30"
"Lupe Fiasco","Jizelle","F","1","Benjamin","262.89587","free","Plymouth, IN","126","Hurt Me Soul (Explicit Album Version)","2"
"Deadmau5","Lily","F","2","Burns","296.64608","free","New York-Newark-Jersey City, NY-NJ-PA","305","Moar Ghosts 'n' Stuff","32"
"Daft Punk","Avery","F","6","Watkins","295.13098","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Face To Face / Short Circuit","30"
"Jay-Jay Johanson","Jizelle","F","2","Benjamin","381.43955","free","Plymouth, IN","126","Tell Me When The Party's Over/Prequiem","2"
"Gigi D'agostino","Lily","F","3","Burns","241.73669","free","New York-Newark-Jersey City, NY-NJ-PA","305","Emotions","32"
"Great Lake Swimmers","Avery","F","7","Watkins","185.46893","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Falling Into the Sky","30"
"Linkin Park","Lily","F","4","Burns","175.38567","free","New York-Newark-Jersey City, NY-NJ-PA","305","Lying From You (Album Version)","32"
"the bird and the bee","Avery","F","8","Watkins","225.17506","paid","San Jose-Sunnyvale-Santa Clara, CA","130","My Love","30"
"Martine McCutcheon","Jizelle","F","3","Benjamin","185.05098","free","Plymouth, IN","126","The Lady Is A Tramp (From 'Babes In Arms')","2"
"Justin Bieber","Lily","F","5","Burns","191.55546","free","New York-Newark-Jersey City, NY-NJ-PA","305","Love Me","32"
"Leo GarcÃÂ­a","Katherine","F","0","Gay","160.91383","free","San Antonio-New Braunfels, TX","266","Nadie Salva","57"
"Matt Redman","Avery","F","9","Watkins","289.35791","paid","San Jose-Sunnyvale-Santa Clara, CA","130","You Never Let Go","30"
"Coldplay","Katherine","F","1","Gay","268.38159","free","San Antonio-New Braunfels, TX","266","Yellow","57"
"DHT Feat. EdmÃÂ©e","Avery","F","10","Watkins","229.98159","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Listen To Your Heart","30"
"Tarkan","Avery","F","11","Watkins","194.16771","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Simarik","30"
"The Rifles","Avery","F","12","Watkins","147.87873","paid","San Jose-Sunnyvale-Santa Clara, CA","130","For The Meantime","30"
"The Killers","Avery","F","13","Watkins","491.57179","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Human","30"
"J. Geils Band","Jizelle","F","5","Benjamin","224.44363","free","Plymouth, IN","126","Love Stinks","2"
"Shakira","Jizelle","F","6","Benjamin","148.1922","free","Plymouth, IN","126","Pienso En Ti","2"
"Radiohead","Avery","F","14","Watkins","231.91465","paid","San Jose-Sunnyvale-Santa Clara, CA","130","(Nice Dream)","30"
"Muse","Avery","F","15","Watkins","304.84853","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Uprising","30"
"Spoon","Mohammad","M","0","Rodriguez","222.32771","free","Sacramento--Roseville--Arden-Arcade, CA","312","The Underdog (Album version)","88"
"Blind Pilot","Mohammad","M","1","Rodriguez","195.39546","free","Sacramento--Roseville--Arden-Arcade, CA","312","Things I Cannot Recall","88"
"Delirious?","Mohammad","M","2","Rodriguez","397.26975","free","Sacramento--Roseville--Arden-Arcade, CA","312","History Maker","88"
"Incubus","Kate","F","0","Harrell","237.06077","paid","Lansing-East Lansing, MI","293","Love Hurts","97"
"No Te Va Gustar","Kate","F","1","Harrell","162.95138","paid","Lansing-East Lansing, MI","293","No Llegas A MÃÂ­","97"
"Radiohead","Kate","F","2","Harrell","321.27955","paid","Lansing-East Lansing, MI","293","There_ There","97"
"Nas","Kate","F","3","Harrell","268.7473","paid","Lansing-East Lansing, MI","293","Black President","97"
"Samajona","Kate","F","4","Harrell","178.36363","paid","Lansing-East Lansing, MI","293","Shake Your Body","97"
"Chicane","Kate","F","5","Harrell","218.33098","paid","Lansing-East Lansing, MI","293","Love On The Run","97"
"Lupe Fiasco","Kate","F","6","Harrell","280.52853","paid","Lansing-East Lansing, MI","293","American Terrorist [feat. Matthew Santos] (Explicit Album Version)","97"
"Madonna","Kate","F","7","Harrell","260.75383","paid","Lansing-East Lansing, MI","293","Beautiful Stranger","97"
"Telex","Kate","F","8","Harrell","352.83546","paid","Lansing-East Lansing, MI","293","On The Road Again (Pigna People Remix)","97"
"Modest Mouse","Kate","F","9","Harrell","209.52771","paid","Lansing-East Lansing, MI","293","Float On","97"
"Cassandra Wilson","Ryan","M","0","Smith","283.0624","free","San Jose-Sunnyvale-Santa Clara, CA","322","Dust My Broom","26"
"Eminem / Dina Rae","Kate","F","10","Harrell","350.11873","paid","Lansing-East Lansing, MI","293","Superman","97"
"Eliza Doolittle","Ryan","M","1","Smith","200.30649","free","San Jose-Sunnyvale-Santa Clara, CA","322","Police Car","26"
"Vivian Green","Kate","F","11","Harrell","336.43057","paid","Lansing-East Lansing, MI","293","Love For Sale","97"
"Dean Martin","Kate","F","12","Harrell","185.83465","paid","Lansing-East Lansing, MI","293","Non Dimenticar","97"
"Skid Row","Kate","F","13","Harrell","218.64444","paid","Lansing-East Lansing, MI","293","Swallow Me (The Real You)","97"
"Destroy The Runner","Kate","F","14","Harrell","232.09751","paid","Lansing-East Lansing, MI","293","Mr. And Mrs. Cuckoldom","97"
"BjÃÂ¶rk","Kate","F","15","Harrell","348.57751","paid","Lansing-East Lansing, MI","293","Undo","97"
"Green Day","Kate","F","16","Harrell","213.02812","paid","Lansing-East Lansing, MI","293","Give Me Novacaine [feat. Green Day & The Cast Of American Idiot] (Album Version)","97"
"23 Skidoo","Kate","F","17","Harrell","236.56444","paid","Lansing-East Lansing, MI","293","S-Matrix (Part 1 - A Winter Ritual)","97"
"Thurston Moore","Kate","F","18","Harrell","139.98975","paid","Lansing-East Lansing, MI","293","Feathers","97"
"Irma Thomas","Kate","F","21","Harrell","180.50567","paid","Lansing-East Lansing, MI","293","Anyone Who Knows What Love Is (Will Understand)","97"
"Micatone","Kate","F","22","Harrell","379.68934","paid","Lansing-East Lansing, MI","293","Nomad","97"
"Jonathan Coulton","Kate","F","23","Harrell","182.7522","paid","Lansing-East Lansing, MI","293","Still Alive","97"
"Deftones","Kate","F","24","Harrell","321.98485","paid","Lansing-East Lansing, MI","293","The Chauffeur (Remastered Version)","97"
"Telepopmusik","Kate","F","25","Harrell","332.95628","paid","Lansing-East Lansing, MI","293","Love Can Damage Your Health","97"
"Monsters Of Folk","Kate","F","26","Harrell","307.01669","paid","Lansing-East Lansing, MI","293","Dear God (Sincerely M.O.F.)","97"
"The All-American Rejects","Kate","F","27","Harrell","220.00281","paid","Lansing-East Lansing, MI","293","Change Your Mind","97"
"Masta Killa","Kate","F","28","Harrell","195.70893","paid","Lansing-East Lansing, MI","293","Ringing Bells","97"
"Adelitas Way","Kate","F","29","Harrell","192.26077","paid","Lansing-East Lansing, MI","293","Invincible (WWE Superstars Theme Song) (Explicit)","97"
"Feral Children","Kate","F","30","Harrell","194.5073","paid","Lansing-East Lansing, MI","293","Saint","97"
"Fusebox","Kate","F","31","Harrell","246.04689","paid","Lansing-East Lansing, MI","293","My Everything (Lost In Worship Album Version)","97"
"3OH!3","Kate","F","32","Harrell","205.81832","paid","Lansing-East Lansing, MI","293","STILLAROUND [BIGMIX] (Bonus Version)","97"
"Radiohead","Kate","F","33","Harrell","129.56689","paid","Lansing-East Lansing, MI","293","Faust Arp","97"
"Jaci Velasquez","Kate","F","34","Harrell","200.95955","paid","Lansing-East Lansing, MI","293","Something (Album Version)","97"
"Fernando Ubiergo","Kate","F","35","Harrell","173.7922","paid","Lansing-East Lansing, MI","293","Yo Pienso En Ti","97"
"Air Supply","Rylan","M","0","George","361.24689","free","Birmingham-Hoover, AL","315","It's Never Too Late (Album Version)","16"
"Death Cab for Cutie","Kate","F","36","Harrell","229.66812","paid","Lansing-East Lansing, MI","293","Cath... (Album Version)","97"
"Eminem / Nate Dogg","Rylan","M","1","George","297.9522","free","Birmingham-Hoover, AL","315","'Till I Collapse","16"
"Philippe Rochard","Kate","F","37","Harrell","360.51546","paid","Lansing-East Lansing, MI","293","Crumpshit","97"
"Weezer","Kate","F","38","Harrell","199.94077","paid","Lansing-East Lansing, MI","293","Island In The Sun","97"
"Nando Reis","Kate","F","39","Harrell","254.6673","paid","Lansing-East Lansing, MI","293","A Letra ""A","97"
"Aborted","Kate","F","40","Harrell","267.78077","paid","Lansing-East Lansing, MI","293","Skullfuck Crescendo","97"
"Walter Beasley","Kate","F","41","Harrell","287.08526","paid","Lansing-East Lansing, MI","293","Killing Me Softly","97"
"Enigma","Kate","F","42","Harrell","262.71302","paid","Lansing-East Lansing, MI","293","Knocking On Forbidden Doors","97"
"Neil Diamond","Kate","F","43","Harrell","194.40281","paid","Lansing-East Lansing, MI","293","Song Sung Blue","97"
"Deftones","Kate","F","44","Harrell","307.3824","paid","Lansing-East Lansing, MI","293","If Only Tonight We Could Sleep (Remastered Version)","97"
"Gorillaz","Kate","F","45","Harrell","284.94322","paid","Lansing-East Lansing, MI","293","Double Bass","97"
"Will Young","Kate","F","46","Harrell","213.55057","paid","Lansing-East Lansing, MI","293","Leave Right Now","97"
"Guns N' Roses","Kate","F","47","Harrell","591.96036","paid","Lansing-East Lansing, MI","293","Estranged","97"
"Harmonia","Kate","F","48","Harrell","655.77751","paid","Lansing-East Lansing, MI","293","Sehr kosmisch","97"
"Alanis Morissette","Kate","F","49","Harrell","236.45995","paid","Lansing-East Lansing, MI","293","Ironic (Acoustic Album Version)","97"
"MichÃÂ¨le Arnaud","Kate","F","50","Harrell","105.50812","paid","Lansing-East Lansing, MI","293","Chanson Sur Une Seule Note Samba De Uma Nota So","97"
"Nicola Marchioro","Kate","F","51","Harrell","201.1424","paid","Lansing-East Lansing, MI","293","Lumidee","97"
"Pantera","Kate","F","53","Harrell","346.51383","paid","Lansing-East Lansing, MI","293","Cemetary Gates (LP Version)","97"
"Godsmack","Kate","F","54","Harrell","235.93751","paid","Lansing-East Lansing, MI","293","Speak","97"
"Gorillaz","Kate","F","55","Harrell","357.61587","paid","Lansing-East Lansing, MI","293","Clint Eastwood (Explicit)","97"
"Ray Barretto","Ryann","F","1","Smith","251.79383","free","Palestine, TX","91","Indestructible","92"
"Usher featuring will.i.am","Ryann","F","2","Smith","395.72853","free","Palestine, TX","91","OMG","92"
"Mates of State","Kate","F","56","Harrell","227.36934","paid","Lansing-East Lansing, MI","293","Parachutes (Funeral Song) (LP Version)","97"
"Angelo D'Onorio","Kate","F","57","Harrell","399.98649","paid","Lansing-East Lansing, MI","293","Ain't No One Like You","97"
